date,open,high,low,close,volume
2025-10-06T09:15:00.000000000,868.6,869.5,864.0,865.65,317578.0
2025-10-06T09:20:00.000000000,865.45,867.0,862.8,866.5,230491.0
2025-10-06T09:25:00.000000000,866.45,870.95,865.4,869.5,258870.0
2025-10-06T09:30:00.000000000,869.75,869.75,866.9,867.9,76966.0
2025-10-06T09:35:00.000000000,868.0,868.0,865.3,865.55,71356.0
2025-10-06T09:40:00.000000000,865.65,866.85,865.5,865.55,81223.0
2025-10-06T09:45:00.000000000,865.55,866.35,864.8,866.35,66046.0
2025-10-06T09:50:00.000000000,866.35,866.35,865.0,865.55,33577.0
2025-10-06T09:55:00.000000000,865.55,867.0,865.25,866.7,51570.0
2025-10-06T10:00:00.000000000,866.7,867.5,866.1,866.95,54077.0
2025-10-06T10:05:00.000000000,867.05,867.8,866.3,867.7,38404.0
2025-10-06T10:10:00.000000000,867.7,869.3,867.1,868.25,140481.0
2025-10-06T10:15:00.000000000,868.25,869.85,868.1,869.8,129946.0
2025-10-06T10:20:00.000000000,869.9,870.4,869.1,870.35,121224.0
2025-10-06T10:25:00.000000000,870.35,870.35,869.5,869.95,50485.0
2025-10-06T10:30:00.000000000,869.8,871.2,869.45,871.1,136423.0
2025-10-06T10:35:00.000000000,871.1,871.2,870.2,870.95,53694.0
2025-10-06T10:40:00.000000000,870.95,871.0,869.5,869.9,49382.0
2025-10-06T10:45:00.000000000,869.55,870.65,869.1,869.15,35846.0
2025-10-06T10:50:00.000000000,869.35,869.4,867.5,868.35,97232.0
2025-10-06T10:55:00.000000000,868.0,868.75,867.7,868.05,31877.0
2025-10-06T11:00:00.000000000,868.1,868.75,866.85,866.9,154506.0
2025-10-06T11:05:00.000000000,866.9,867.2,866.15,866.65,77034.0
2025-10-06T11:10:00.000000000,866.5,866.95,866.15,866.45,180627.0
2025-10-06T11:15:00.000000000,866.45,867.35,865.55,867.3,131944.0
2025-10-06T11:20:00.000000000,867.05,867.3,866.4,867.0,42776.0
2025-10-06T11:25:00.000000000,866.95,867.0,865.95,866.7,126612.0
2025-10-06T11:30:00.000000000,866.7,867.0,866.3,867.0,101209.0
2025-10-06T11:35:00.000000000,867.05,867.55,866.0,866.5,166578.0
2025-10-06T11:40:00.000000000,866.5,867.85,866.05,867.5,36462.0
2025-10-06T11:45:00.000000000,867.5,867.5,866.7,867.2,40528.0
2025-10-06T11:50:00.000000000,867.25,868.1,866.85,867.9,129038.0
